transaction_id,customer_id,transaction_amount,transaction_time,previous_transactions_count,is_fraud,parsed_time,transaction_year,transaction_month,transaction_day,transaction_hour,transaction_minute,day_of_week,is_weekend,is_night_transaction,amount_log,amount_zscore_global,customer_previous_transaction_count,customer_transaction_count,customer_average_amount,customer_max_amount,customer_min_amount,customer_amount_deviation,customer_transactions_last_1h,customer_transactions_last_6h,customer_transactions_last_24h,customer_location_change,customer_device_change,customer_unique_location_count,customer_unique_device_count,transaction_type=deposit,transaction_type=payment,transaction_type=transfer,transaction_type=withdrawal,transaction_location=California,transaction_location=Florida,transaction_location=Georgia,transaction_location=Illinois,transaction_location=New York,transaction_location=Texas,transaction_location=Washington,device_type=ATM,device_type=POS,device_type=desktop,device_type=mobile,amount_bucket=high,amount_bucket=low_medium,amount_bucket=micro,amount_bucket=very_high
T001152,C4540,119.56,2025-01-01 00:00:39,0,0,2025-01-01 00:00:39,2025,1,1,0,0,2,0,1,4.7921,0.198,0,1,119.56,119.56,119.56,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
T017724,C8585,135.4,2025-01-01 00:00:45,1,0,2025-01-01 00:00:45,2025,1,1,0,0,2,0,1,4.9156,0.3567,0,1,135.4,135.4,135.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
T006034,C6277,101.94,2025-01-01 00:04:57,11,0,2025-01-01 00:04:57,2025,1,1,0,4,2,0,1,4.6341,0.0214,0,1,101.94,101.94,101.94,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
T002666,C7560,14.69,2025-01-01 00:06:08,6,0,2025-01-01 00:06:08,2025,1,1,0,6,2,0,1,2.753,-0.8528,0,1,14.69,14.69,14.69,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
T001364,C7360,132.09,2025-01-01 00:09:12,46,0,2025-01-01 00:09:12,2025,1,1,0,9,2,0,1,4.891,0.3235,0,1,132.09,132.09,132.09,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
T009470,C2487,62.56,2025-01-01 00:10:37,11,0,2025-01-01 00:10:37,2025,1,1,0,10,2,0,1,4.152,-0.3732,0,1,62.56,62.56,62.56,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
T011769,C2997,2.24,2025-01-01 00:11:28,41,0,2025-01-01 00:11:28,2025,1,1,0,11,2,0,1,1.1756,-0.9776,0,1,2.24,2.24,2.24,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
T006320,C9105,96.26,2025-01-01 00:13:29,4,0,2025-01-01 00:13:29,2025,1,1,0,13,2,0,1,4.5774,-0.0355,0,1,96.26,96.26,96.26,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
T006596,C2137,12.5,2025-01-01 00:20:04,46,0,2025-01-01 00:20:04,2025,1,1,0,20,2,0,1,2.6027,-0.8747,0,1,12.5,12.5,12.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
T003616,C3940,81.37,2025-01-01 00:22:23,22,0,2025-01-01 00:22:23,2025,1,1,0,22,2,0,1,4.4112,-0.1847,0,1,81.37,81.37,81.37,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
