TransactionID,TransactionDT,isFraud,TransactionAmt,ProductCD,card1,card4,card6,P_emaildomain,DeviceType,id_30,id_31,TransactionAmt_log,TransactionAmt_decimal,Transaction_hour,Transaction_day,Transaction_day_num,P_emaildomain_vendor,R_emaildomain_vendor,OS_vendor,Browser_vendor,null_count,Amt_to_mean_card1,Amt_to_std_card1
1000,10855,0,18.48,H,1129,mastercard,credit,yahoo.com,mobile,iOS 14.0,chrome 87.0,2.969388298214389,0.48,3,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1001,38229,0,83.31,H,1840,mastercard,debit,gmail.com,desktop,Windows 10,safari 14.0,4.434500481934585,0.31,10,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1002,22850,0,1.32,W,1272,visa,debit,,mobile,iOS 14.0,safari 14.0,0.8415671856782186,0.32,6,0,0,missing,missing,iOS,safari,1,1.0,0.0
1003,27397,0,82.71,H,1666,visa,credit,gmail.com,desktop,iOS 14.0,chrome 87.0,4.427358444671965,0.71,7,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1004,21904,0,43.44,H,1708,mastercard,debit,,desktop,iOS 14.0,chrome 87.0,3.7941399647714293,0.44,6,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1005,43286,0,4.71,W,1343,visa,debit,yahoo.com,mobile,iOS 14.0,safari 14.0,1.742219023667919,0.71,12,0,0,yahoo,missing,iOS,safari,0,1.0,0.0
1006,25237,0,107.39,C,1184,mastercard,debit,yahoo.com,mobile,iOS 14.0,chrome 87.0,4.685735833827659,0.39,7,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1007,20405,0,60.48,C,1904,visa,debit,yahoo.com,mobile,Windows 10,chrome 87.0,4.118711918670395,0.48,5,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1008,39006,0,53.24,H,1838,mastercard,credit,,mobile,Windows 10,chrome 87.0,3.99341864363214,0.24,10,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1009,32548,0,303.61,W,1698,visa,debit,yahoo.com,desktop,Windows 10,chrome 87.0,5.719032269863077,0.61,9,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1010,39336,0,98.13,W,1360,visa,debit,gmail.com,desktop,Windows 10,safari 14.0,4.596432120044806,0.13,10,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1011,29868,0,133.43,W,1431,visa,debit,,mobile,iOS 14.0,chrome 87.0,4.901043617466161,0.43,8,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1012,37203,0,41.83,H,1883,visa,debit,gmail.com,desktop,Windows 10,chrome 87.0,3.7572387916272794,0.83,10,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1013,31313,0,124.62,H,1388,mastercard,credit,,mobile,iOS 14.0,safari 14.0,4.833261477026235,0.62,8,0,0,missing,missing,iOS,safari,1,1.0266,0.7071
1014,36305,0,189.3,C,1270,visa,credit,,mobile,iOS 14.0,chrome 87.0,5.248601774302104,0.3,10,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1015,12150,0,44.27,W,1386,mastercard,credit,gmail.com,desktop,iOS 14.0,safari 14.0,3.8126445614478675,0.27,3,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1016,32205,0,11.25,H,1629,visa,credit,,mobile,iOS 14.0,safari 14.0,2.505525936990736,0.25,8,0,0,missing,missing,iOS,safari,1,1.0,0.0
1017,45743,0,56.74,H,1860,visa,debit,gmail.com,desktop,iOS 14.0,safari 14.0,4.055950174234789,0.74,12,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1018,35619,0,110.52,W,1250,visa,debit,,desktop,Windows 10,safari 14.0,4.714203947012214,0.52,9,0,0,missing,missing,Windows,safari,1,1.0,0.0
1019,26385,0,41.55,H,1098,mastercard,credit,yahoo.com,mobile,Windows 10,chrome 87.0,3.750679855019383,0.55,7,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1020,32142,0,37.34,H,1192,visa,credit,yahoo.com,desktop,Windows 10,safari 14.0,3.6464937376174986,0.34,8,0,0,yahoo,missing,Windows,safari,0,1.0,0.0
1021,39949,0,135.95,C,1597,mastercard,debit,,desktop,Windows 10,safari 14.0,4.919615895709087,0.95,11,0,0,missing,missing,Windows,safari,1,1.0,0.0
1022,13786,0,104.31,W,1530,mastercard,credit,gmail.com,desktop,Windows 10,chrome 87.0,4.656908381392506,0.31,3,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1023,43547,1,193.07,W,1357,visa,debit,gmail.com,desktop,iOS 14.0,chrome 87.0,5.268218918724004,0.07,12,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1024,30011,1,0.65,W,1156,visa,credit,,desktop,Windows 10,safari 14.0,0.5007752879124893,0.65,8,0,0,missing,missing,Windows,safari,1,1.0,0.0
1025,15585,0,4.15,C,1677,mastercard,debit,gmail.com,desktop,iOS 14.0,chrome 87.0,1.6389967146756448,0.15,4,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1026,25417,0,10.7,H,1750,visa,credit,,desktop,iOS 14.0,safari 14.0,2.4595888418037104,0.7,7,0,0,missing,missing,iOS,safari,1,1.0,0.0
1027,28082,0,643.22,H,1055,mastercard,debit,gmail.com,mobile,iOS 14.0,safari 14.0,6.4680402826740995,0.22,7,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1028,17026,0,39.08,H,1068,mastercard,debit,yahoo.com,desktop,iOS 14.0,chrome 87.0,3.6908774567766094,0.08,4,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1029,17847,0,101.82,W,1362,visa,credit,gmail.com,mobile,iOS 14.0,chrome 87.0,4.632979886627359,0.82,4,0,0,gmail,missing,iOS,chrome,0,0.9121,-0.7071
1030,30383,0,50.64,C,1278,visa,debit,yahoo.com,desktop,Windows 10,chrome 87.0,3.944296565978442,0.64,8,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1031,45145,0,8.81,W,1920,mastercard,debit,,mobile,iOS 14.0,chrome 87.0,2.2834022735772717,0.81,12,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1032,40017,0,98.61,W,1084,visa,debit,,mobile,Windows 10,safari 14.0,4.601262561157074,0.61,11,0,0,missing,missing,Windows,safari,1,1.0,0.0
1033,35725,0,129.06,W,1295,visa,debit,,desktop,Windows 10,safari 14.0,4.867995882441006,0.06,9,0,0,missing,missing,Windows,safari,1,1.0,0.0
1034,23276,0,9.33,C,1832,mastercard,debit,,desktop,Windows 10,chrome 87.0,2.3350522831315472,0.33,6,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1035,35141,0,349.01,C,1019,mastercard,debit,,mobile,Windows 10,chrome 87.0,5.857961725503875,0.01,9,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1036,21456,0,70.25,C,1071,visa,credit,gmail.com,mobile,Windows 10,safari 14.0,4.26619481914876,0.25,5,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1037,45137,0,20.07,W,1738,visa,credit,gmail.com,mobile,iOS 14.0,safari 14.0,3.0478502278160975,0.07,12,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1038,12520,0,103.73,C,1461,visa,debit,yahoo.com,desktop,iOS 14.0,chrome 87.0,4.651385609785055,0.73,3,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1039,43065,0,266.54,H,1391,mastercard,credit,,mobile,iOS 14.0,chrome 87.0,5.58926908786744,0.54,11,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1040,44492,0,399.93,C,1589,visa,debit,gmail.com,desktop,Windows 10,chrome 87.0,5.99378684847755,0.93,12,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1041,36144,0,13.85,W,1803,visa,credit,yahoo.com,desktop,Windows 10,chrome 87.0,2.6979998652487085,0.85,10,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1042,33734,0,34.88,W,1686,visa,debit,gmail.com,desktop,Windows 10,safari 14.0,3.5801800371905954,0.88,9,0,0,gmail,missing,Windows,safari,0,0.3529,-0.7071
1043,23077,1,42.28,W,1642,mastercard,credit,yahoo.com,mobile,Windows 10,chrome 87.0,3.767690634538226,0.28,6,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1044,20645,0,162.8,H,1686,visa,debit,gmail.com,mobile,iOS 14.0,safari 14.0,5.098646171418969,0.8,5,0,0,gmail,missing,iOS,safari,0,1.6471,0.7071
1045,20134,0,108.05,C,1324,visa,credit,,mobile,Windows 10,safari 14.0,4.691806492647638,0.05,5,0,0,missing,missing,Windows,safari,1,1.0,0.0
1046,28367,0,117.69,H,1438,visa,credit,gmail.com,desktop,iOS 14.0,safari 14.0,4.776515052068413,0.69,7,0,0,gmail,missing,iOS,safari,0,1.0983,0.7071
1047,41082,0,95.48,C,1520,visa,debit,gmail.com,mobile,iOS 14.0,safari 14.0,4.5693357329788755,0.48,11,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1048,34464,0,166.96,C,1908,visa,credit,yahoo.com,mobile,iOS 14.0,safari 14.0,5.123725855815993,0.96,9,0,0,yahoo,missing,iOS,safari,0,1.0,0.0
1049,39330,0,96.63,H,1438,mastercard,credit,yahoo.com,desktop,iOS 14.0,chrome 87.0,4.58118482323758,0.63,10,0,0,yahoo,missing,iOS,chrome,0,0.9017,-0.7071
1050,27950,0,42.61,H,1952,mastercard,debit,,mobile,Windows 10,chrome 87.0,3.775286481854675,0.61,7,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1051,35061,1,18.07,W,1501,visa,debit,yahoo.com,desktop,iOS 14.0,safari 14.0,2.9481164196123277,0.07,9,0,0,yahoo,missing,iOS,safari,0,1.0,0.0
1052,33055,0,145.7,W,1402,mastercard,credit,,mobile,iOS 14.0,chrome 87.0,4.9883896851489355,0.7,9,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1053,19242,0,84.39,W,1976,mastercard,debit,,mobile,Windows 10,chrome 87.0,4.447228997919515,0.39,5,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1054,41868,0,87.24,H,1182,mastercard,debit,,mobile,Windows 10,safari 14.0,4.480060374945247,0.24,11,0,0,missing,missing,Windows,safari,1,1.0,0.0
1055,35637,0,463.73,W,1418,visa,debit,gmail.com,desktop,Windows 10,chrome 87.0,6.1414565917863815,0.73,9,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1056,31186,0,82.64,C,1991,visa,debit,yahoo.com,desktop,iOS 14.0,chrome 87.0,4.426521874560433,0.64,8,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1057,44150,0,19.09,H,1714,visa,credit,gmail.com,mobile,iOS 14.0,chrome 87.0,3.000222178826843,0.09,12,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1058,15662,0,194.3,H,1934,mastercard,debit,yahoo.com,mobile,Windows 10,safari 14.0,5.274536837882633,0.3,4,0,0,yahoo,missing,Windows,safari,0,1.0,0.0
1059,29874,0,118.16,W,1388,visa,credit,yahoo.com,mobile,Windows 10,chrome 87.0,4.780467127845082,0.16,8,0,0,yahoo,missing,Windows,chrome,0,0.9734,-0.7071
1060,14407,0,153.47,H,1309,visa,debit,yahoo.com,desktop,iOS 14.0,chrome 87.0,5.0399999027261595,0.47,4,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1061,32981,0,140.48,H,1338,mastercard,debit,yahoo.com,mobile,iOS 14.0,chrome 87.0,4.95215836433728,0.48,9,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1062,20512,0,1.29,C,1555,mastercard,debit,gmail.com,mobile,Windows 10,safari 14.0,0.8285518175661483,0.29,5,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1063,37734,0,21.24,W,1695,visa,credit,gmail.com,desktop,Windows 10,chrome 87.0,3.1018924693823817,0.24,10,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1064,38224,0,8.59,C,1712,mastercard,debit,yahoo.com,mobile,Windows 10,chrome 87.0,2.2607208888953467,0.59,10,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1065,25263,0,21.38,C,1850,mastercard,credit,,desktop,Windows 10,chrome 87.0,3.108167702883779,0.38,7,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1066,13191,0,284.88,H,1282,visa,credit,yahoo.com,desktop,Windows 10,safari 14.0,5.655572142351778,0.88,3,0,0,yahoo,missing,Windows,safari,0,1.0,0.0
1067,42753,0,165.83,H,1950,visa,credit,yahoo.com,desktop,iOS 14.0,chrome 87.0,5.116975329867582,0.83,11,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1068,41399,0,5.11,C,1865,mastercard,debit,yahoo.com,desktop,Windows 10,chrome 87.0,1.809926773183504,0.11,11,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1069,46440,0,125.15,W,1655,visa,credit,,mobile,Windows 10,safari 14.0,4.837471675087067,0.15,12,0,0,missing,missing,Windows,safari,1,1.0,0.0
1070,44057,0,121.45,W,1362,visa,credit,gmail.com,desktop,iOS 14.0,safari 14.0,4.8077027833981765,0.45,12,0,0,gmail,missing,iOS,safari,0,1.0879,0.7071
1071,14898,0,41.37,H,1827,mastercard,credit,,desktop,Windows 10,chrome 87.0,3.7464405646384678,0.37,4,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1072,36444,0,7.75,C,1496,mastercard,credit,gmail.com,mobile,iOS 14.0,chrome 87.0,2.169053700369523,0.75,10,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1073,10725,0,334.4,H,1361,visa,debit,yahoo.com,mobile,Windows 10,safari 14.0,5.815323849389109,0.4,2,0,0,yahoo,missing,Windows,safari,0,1.0,0.0
1074,32976,0,4.88,W,1228,visa,debit,yahoo.com,desktop,Windows 10,chrome 87.0,1.7715567619105355,0.88,9,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1075,47021,0,40.7,H,1697,mastercard,credit,gmail.com,desktop,iOS 14.0,chrome 87.0,3.730501128804756,0.7,13,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1076,22972,0,26.46,W,1546,visa,credit,,mobile,iOS 14.0,chrome 87.0,3.312730400339825,0.46,6,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1077,46497,0,88.85,C,1344,mastercard,debit,gmail.com,mobile,Windows 10,safari 14.0,4.498141613229568,0.85,12,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1078,44407,0,303.93,C,1365,mastercard,credit,,desktop,Windows 10,chrome 87.0,5.720082242069654,0.93,12,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1079,34049,0,216.75,C,1093,visa,credit,gmail.com,desktop,iOS 14.0,safari 14.0,5.383347615732612,0.75,9,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1080,42340,0,344.79,H,1757,visa,debit,gmail.com,desktop,iOS 14.0,safari 14.0,5.845831654381072,0.79,11,0,0,gmail,missing,iOS,safari,0,1.0,0.0
1081,42248,0,11.34,C,1152,mastercard,credit,gmail.com,desktop,Windows 10,safari 14.0,2.5128460184772416,0.34,11,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1082,15995,1,1.93,W,1702,mastercard,debit,,mobile,iOS 14.0,safari 14.0,1.0750024230289759,0.93,4,0,0,missing,missing,iOS,safari,1,1.0,0.0
1083,34512,0,74.04,W,1900,mastercard,debit,,desktop,Windows 10,chrome 87.0,4.318021304697969,0.04,9,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1084,15901,0,178.66,H,1687,visa,credit,yahoo.com,desktop,iOS 14.0,chrome 87.0,5.19106617580106,0.66,4,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1085,10132,0,155.94,H,1045,mastercard,credit,gmail.com,desktop,Windows 10,safari 14.0,5.055863566699327,0.94,2,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1086,18828,0,36.35,C,1637,visa,credit,gmail.com,desktop,iOS 14.0,chrome 87.0,3.6203329115788265,0.35,5,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1087,22303,0,17.4,H,1163,mastercard,credit,,desktop,iOS 14.0,safari 14.0,2.91235066461494,0.4,6,0,0,missing,missing,iOS,safari,1,1.0,0.0
1088,16795,0,20.67,C,1626,mastercard,debit,,mobile,Windows 10,safari 14.0,3.075928815548268,0.67,4,0,0,missing,missing,Windows,safari,1,1.0,0.0
1089,41264,0,39.27,H,1090,visa,credit,,mobile,iOS 14.0,chrome 87.0,3.695606774863363,0.27,11,0,0,missing,missing,iOS,chrome,1,1.0,0.0
1090,30489,0,175.89,W,1130,visa,credit,yahoo.com,desktop,Windows 10,chrome 87.0,5.1755280704554165,0.89,8,0,0,yahoo,missing,Windows,chrome,0,1.0,0.0
1091,41572,0,298.83,C,1321,mastercard,debit,gmail.com,desktop,Windows 10,safari 14.0,5.703215647373299,0.83,11,0,0,gmail,missing,Windows,safari,0,1.0,0.0
1092,32422,0,9.02,C,1252,mastercard,debit,yahoo.com,desktop,iOS 14.0,safari 14.0,2.3045830956567186,0.02,9,0,0,yahoo,missing,iOS,safari,0,1.0,0.0
1093,22054,0,109.88,W,1521,mastercard,credit,,mobile,Windows 10,safari 14.0,4.708448535441593,0.88,6,0,0,missing,missing,Windows,safari,1,1.0,0.0
1094,42602,0,108.92,C,1559,visa,debit,yahoo.com,mobile,Windows 10,safari 14.0,4.699752828474039,0.92,11,0,0,yahoo,missing,Windows,safari,0,1.0,0.0
1095,26814,0,197.92,H,1155,mastercard,credit,yahoo.com,mobile,iOS 14.0,chrome 87.0,5.292902733846538,0.92,7,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
1096,46554,0,161.94,H,1691,visa,debit,gmail.com,mobile,iOS 14.0,chrome 87.0,5.093382034882496,0.94,12,0,0,gmail,missing,iOS,chrome,0,1.0,0.0
1097,44065,0,185.78,W,1285,visa,debit,,desktop,Windows 10,chrome 87.0,5.229931453681572,0.78,12,0,0,missing,missing,Windows,chrome,1,1.0,0.0
1098,19268,1,101.13,W,1331,visa,credit,gmail.com,desktop,Windows 10,chrome 87.0,4.626246511590008,0.13,5,0,0,gmail,missing,Windows,chrome,0,1.0,0.0
1099,13631,0,104.87,W,1977,mastercard,debit,yahoo.com,mobile,iOS 14.0,chrome 87.0,4.662211926355289,0.87,3,0,0,yahoo,missing,iOS,chrome,0,1.0,0.0
