transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,transaction_location,device_type,previous_transactions_count,is_fraud
T000000,C2757,46.93,transfer,2025-01-24 01:36:10,Illinois,mobile,46,0
T000001,C2921,301.01,transfer,2025-01-25 20:23:15,Texas,ATM,48,0
T000002,C1412,131.67,deposit,2025-01-18 03:31:58,Washington,desktop,43,0
T000003,C2653,91.29,payment,2025-01-08 01:58:43,New York,desktop,40,0
T000004,C8219,16.96,payment,2025-01-13 16:58:09,Washington,mobile,0,0
T000005,C8261,16.96,withdrawal,2025-01-04 10:51:24,Illinois,desktop,24,0
T000006,C8947,5.98,deposit,2025-01-18 22:45:50,Illinois,desktop,15,0
T000007,C9491,201.12,withdrawal,2025-01-11 18:15:05,Illinois,mobile,14,0
T000008,C3103,91.91,transfer,2025-01-15 08:19:48,Florida,POS,10,0
T000009,C9750,123.13,payment,2025-01-12 09:07:16,Florida,POS,36,0
T000010,C2499,2.08,withdrawal,2025-01-17 00:42:02,Illinois,POS,38,0
T000011,C1637,350.36,withdrawal,2025-01-18 05:55:15,Illinois,desktop,2,0
T000012,C8291,178.64,payment,2025-01-25 04:20:08,New York,ATM,44,0
T000013,C9913,23.87,transfer,2025-01-06 12:13:00,New York,desktop,44,0
T000014,C8875,20.07,withdrawal,2025-01-16 07:28:48,Texas,POS,41,0
T000015,C9268,20.26,withdrawal,2025-01-26 07:34:20,Georgia,mobile,38,0
T000016,C8898,36.28,deposit,2025-01-21 07:46:14,Texas,mobile,19,0
T000017,C6598,74.39,deposit,2025-01-16 20:54:19,Florida,mobile,22,0
T000018,C1202,56.55,payment,2025-01-25 12:58:50,California,desktop,14,0
T000019,C3479,34.42,payment,2025-01-10 07:02:12,New York,ATM,17,0
T000020,C1150,94.64,transfer,2025-01-06 22:46:48,Texas,POS,38,0
T000021,C7695,15.02,transfer,2025-01-20 07:52:15,Georgia,mobile,34,0
T000022,C4112,34.55,withdrawal,2025-01-29 20:28:33,Georgia,POS,28,0
T000023,C9631,45.63,deposit,2025-01-14 15:25:11,New York,POS,19,0
T000024,C6663,60.89,transfer,2025-01-08 01:51:32,New York,desktop,41,0
T000025,C9149,153.79,withdrawal,2025-01-12 03:43:20,Washington,mobile,14,0
T000026,C2894,22.27,withdrawal,2025-01-28 00:06:06,California,desktop,31,0
T000027,C9472,72.2,payment,2025-01-12 14:44:34,New York,POS,11,0
T000028,C2924,89.75,deposit,2025-01-19 06:32:00,Washington,POS,47,0
T000029,C5927,4.76,withdrawal,2025-01-29 00:06:29,Georgia,POS,11,0
T000030,C4829,93.53,payment,2025-01-12 22:31:14,California,mobile,24,0
T000031,C9668,18.7,withdrawal,2025-01-29 14:44:33,Georgia,mobile,33,0
T000032,C5136,6.73,deposit,2025-01-21 01:08:38,Washington,mobile,7,0
T000033,C4217,297.37,withdrawal,2025-01-05 12:40:44,Georgia,POS,23,0
T000034,C6751,337.06,withdrawal,2025-01-18 15:57:36,Washington,POS,44,0
T000035,C6594,165.23,transfer,2025-01-10 05:47:03,California,ATM,0,0
T000036,C6530,36.33,transfer,2025-01-04 19:07:33,New York,mobile,24,0
T000037,C7046,10.28,payment,2025-01-12 07:55:58,New York,POS,33,0
T000038,C2859,115.28,withdrawal,2025-01-08 12:41:11,Texas,POS,13,0
T000039,C5725,58.01,payment,2025-01-02 18:56:46,New York,ATM,35,0
T000040,C4084,13.02,deposit,2025-01-26 22:51:38,Georgia,ATM,5,0
T000041,C1934,68.35,payment,2025-01-27 18:11:08,New York,POS,44,0
T000042,C1024,3.5,withdrawal,2025-01-19 18:43:49,New York,mobile,8,0
T000043,C1538,240.04,transfer,2025-01-09 15:39:38,Texas,desktop,47,0
T000044,C5061,29.95,transfer,2025-01-24 01:09:03,California,desktop,0,0
T000045,C2871,108.63,payment,2025-01-19 20:29:17,Texas,desktop,8,0
T000046,C5292,37.35,transfer,2025-01-06 07:48:39,Georgia,mobile,23,0
T000047,C3050,73.41,withdrawal,2025-01-13 22:14:25,Georgia,POS,38,0
T000048,C4492,79.12,withdrawal,2025-01-17 08:37:02,New York,desktop,17,0
T000049,C6934,20.44,deposit,2025-01-27 01:34:04,Illinois,desktop,47,0
T000050,C2614,349.28,transfer,2025-01-01 08:33:39,New York,mobile,38,0
T000051,C5027,149.22,transfer,2025-01-08 18:52:34,Texas,POS,17,0
T000052,C9894,280.51,deposit,2025-01-25 13:10:19,Washington,POS,40,0
T000053,C6628,225.22,payment,2025-01-13 10:14:33,Washington,mobile,27,0
T000054,C4347,91.11,deposit,2025-01-08 15:05:20,Texas,desktop,1,0
T000055,C7237,254.94,transfer,2025-01-19 19:36:47,Florida,POS,36,0
T000056,C6692,9.27,payment,2025-01-01 12:29:04,Georgia,POS,40,0
T000057,C5344,21.81,withdrawal,2025-01-26 22:21:07,Washington,desktop,35,0
T000058,C7799,4.63,withdrawal,2025-01-02 23:57:55,Illinois,mobile,47,0
T000059,C8744,39.35,deposit,2025-01-06 08:15:43,Texas,desktop,23,0
T000060,C4210,49.21,withdrawal,2025-01-01 02:52:13,Washington,ATM,34,0
T000061,C6448,31.66,transfer,2025-01-27 07:35:38,Washington,POS,5,0
