date,total_transactions,fraud_count,fraud_amount,fraud_rate
2025-01-01,644,9,757.09,0.013975155279503106
2025-01-02,651,9,1242.8400000000001,0.013824884792626729
2025-01-03,666,5,304.12,0.0075075075075075074
2025-01-04,632,14,1554.1299999999999,0.022151898734177215
2025-01-05,660,7,572.89,0.010606060606060607
2025-01-06,647,7,572.72,0.010819165378670788
2025-01-07,700,10,997.51,0.014285714285714285
2025-01-08,598,11,1391.1,0.01839464882943144
2025-01-09,685,15,2269.65,0.021897810218978103
2025-01-10,699,12,1052.95,0.017167381974248927
2025-01-11,648,15,2480.37,0.023148148148148147
2025-01-12,733,10,1171.76,0.013642564802182811
2025-01-13,705,9,1043.15,0.01276595744680851
2025-01-14,655,7,415.17,0.010687022900763359
2025-01-15,666,10,1096.91,0.015015015015015015
2025-01-16,676,11,1961.43,0.016272189349112426
2025-01-17,695,7,715.68,0.010071942446043165
2025-01-18,635,10,2178.12,0.015748031496062992
2025-01-19,646,8,678.66,0.01238390092879257
2025-01-20,629,6,917.1200000000001,0.009538950715421303
2025-01-21,656,9,860.43,0.013719512195121951
2025-01-22,647,17,1134.08,0.02627511591962906
2025-01-23,679,13,2023.49,0.01914580265095729
2025-01-24,733,10,779.24,0.013642564802182811
2025-01-25,648,11,1221.18,0.016975308641975308
2025-01-26,715,12,844.01,0.016783216783216783
2025-01-27,673,4,362.32,0.005943536404160475
2025-01-28,641,14,1449.15,0.0218408736349454
2025-01-29,692,15,992.51,0.02167630057803468
2025-01-30,646,7,400.54,0.010835913312693499
